temperatura	ph	consumo
T27	PH78	4868.53
T27	PH78	3179.54
T27	PH78	3580.96
T27	PH78	3134.83
T27	PH78	4264.15
T27	PH78	3551.41
T27	PH78	3558.15
T27	PH78	3114.25
T27	PH78	3995.23
T27	PH78	3348.19
T27	PH75	4060.19
T27	PH75	5389.73
T27	PH75	5367.29
T27	PH75	4626.08
T27	PH75	5456.78
T27	PH75	6973.60
T27	PH75	4181.21
T27	PH75	5207.65
T27	PH75	3084.31
T27	PH75	4070.92
T30	PH78	415.86
T30	PH78	559.05
T30	PH78	300.40
T30	PH78	473.71
T30	PH78	389.34
T30	PH78	396.10
T30	PH78	353.45
T30	PH78	314.56
T30	PH78	482.93
T30	PH78	339.66
T30	PH75	369.12
T30	PH75	392.99
T30	PH75	473.58
T30	PH75	553.88
T30	PH75	486.02
T30	PH75	335.05
T30	PH75	374.69
T30	PH75	409.23
T30	PH75	428.89
T30	PH75	464.87
