Data	Alga	temperatura	Anfipode	Gastropoda
fevereiro	Padina 	28.07	9.293156857	2.534497325
fevereiro	Padina 	28.07	5.4040572	3.741270369
fevereiro	Padina 	28.07	3.212804486	2.803902097
fevereiro	Dichotomaria	28.07	10.37079131	4.546100298
fevereiro	Dichotomaria	28.07	13.55094707	1.497342218
fevereiro	Dichotomaria	28.07	16.61958569	3.342749529
fevereiro	Sargassum 	28.07	4.248237201	0.832128936
fevereiro	Sargassum 	28.07	3.872705843	0.505135545
fevereiro	Sargassum 	28.07	13.0171184	1.426533524
março	Padina 	28.01605149	5.037231713	4.161191415
março	Padina 	28.01605149	1.675041876	1.116694584
março	Padina 	28.01605149	2.522704339	3.531786075
março	Dichotomaria	28.01605149	4.508856683	1.030595813
março	Dichotomaria	28.01605149	20.08032129	2.072807358
março	Dichotomaria	28.01605149	4.248861912	1.213960546
março	Sargassum 	28.01605149	3.306878307	1.091269841
março	Sargassum 	28.01605149	3.281936962	4.148863707
março	Sargassum 	28.01605149	4.924754335	0.755892526
abril	Padina 	28.64768791	1.62749821	6.249593125
abril	Padina 	28.64768791	1.427406199	0
abril	Padina 	28.64768791	2.547247329	6.984387839
abril	Dichotomaria	28.64768791	1.457119067	5.342769914
abril	Dichotomaria	28.64768791	2.177667643	5.331531126
abril	Dichotomaria	28.64768791	0.842261303	3.284819082
abril	Sargassum 	28.64768791	4.600920184	11.73568047
abril	Sargassum 	28.64768791	1.386012178	2.927756062
abril	Sargassum 	28.64768791	1.022736213	6.647785383
maio	Padina 	26.99353441	0	0
maio	Padina 	26.99353441	0	0
maio	Padina 	26.99353441	0	0
maio	Dichotomaria	26.99353441	0	0
maio	Dichotomaria	26.99353441	0	0
maio	Dichotomaria	26.99353441	0	0
maio	Sargassum 	26.99353441	1.67196121	4.413977596
maio	Sargassum 	26.99353441	2.5625	6.104166667
maio	Sargassum 	26.99353441	3.702281703	5.26546731
junho	Padina 	22.66	7.629273806	0.282565697
junho	Padina 	22.66	18.60036832	1.473296501
junho	Padina 	22.66	6.700321248	0.550711335
junho	Dichotomaria	22.66	2.651978784	0.203998368
junho	Dichotomaria	22.66	7.360573747	0.37746532
junho	Dichotomaria	22.66	4.791431793	0.422773393
junho	Sargassum 	22.66	5.242833385	1.803985681
junho	Sargassum 	22.66	3.033673779	0.657295985
junho	Sargassum 	22.66	4.551009228	0.800640512
julho	Padina 	22.72	5.868107303	0.838301043
julho	Padina 	22.72	3.823279524	1.06202209
julho	Padina 	22.72	14.44825718	0.903016074
julho	Dichotomaria	22.72	1.180040459	0.39334682
julho	Dichotomaria	22.72	3.732324029	0.052567944
julho	Dichotomaria	22.72	3.873039864	0.094464387
julho	Sargassum 	22.72	0.713400668	0.300379229
julho	Sargassum 	22.72	5.633604451	0.563360445
julho	Sargassum 	22.72	6.640106242	0.452734516
agosto	Padina 	20.89	10.6888361	1.866304717
agosto	Padina 	20.89	5.934718101	1.271725307
agosto	Padina 	20.89	6.052141527	0.465549348
agosto	Dichotomaria	20.89	3.103295404	0.073887986
agosto	Dichotomaria	20.89	4.085292945	0.597847748
agosto	Dichotomaria	20.89	4.270786006	0.454338937
agosto	Sargassum 	20.89	8.808392716	0.263921879
agosto	Sargassum 	20.89	3.398219628	0.627931888
agosto	Sargassum 	20.89	0	0
setembro	Padina 	25.34	3.038458199	2.083514194
setembro	Padina 	25.34	6.886087768	1.050420168
setembro	Padina 	25.34	6.079369547	0.394033211
