Data da digestao;Amostra (nº);numeroamostra;Familia;Especie e Genero;Grupo;Local da Coleta;Latitude;Longitude;NS;Lado;Local;Estacao;Temp;Salinidade;Cd;Pb;Zn;Cu;Hg;As
05/09/2017;7;5;Dictyotaceae;Canistrocarpus cervicornis;Phaeophyceae;Andradas;-20,51369;-29,305989;South;Windward;Island;Summer;26;37;0,21;0,2057;3,73;0,24;0;16,56
05/09/2017;8;5;Dictyotaceae;Canistrocarpus cervicornis;Phaeophyceae;Andradas;-20,51369;-29,305989;South;Windward;Island;Summer;26;37;0,21;0,1657;3,65;0;0;18,1
05/09/2017;9;5;Dictyotaceae;Canistrocarpus cervicornis;Phaeophyceae;Andradas;-20,51369;-29,305989;South;Windward;Island;Summer;26;37;0,2;0,0587;3,58;0;0;17,28
05/09/2017;30;23;Dictyotaceae;Canistrocarpus cervicornis;Phaeophyceae;Andradas;-20,51369;-29,305989;South;Windward;Island;Winter;25;37;0,02;0,206;8,58;0,97;0;25,34
05/09/2017;31;23;Dictyotaceae;Canistrocarpus cervicornis;Phaeophyceae;Andradas;-20,51369;-29,305989;South;Windward;Island;Winter;25;37;0,04;0,2206;10,04;0,75;0;27,81
05/09/2017;32;23;Dictyotaceae;Canistrocarpus cervicornis;Phaeophyceae;Andradas;-20,51369;-29,305989;South;Windward;Island;Winter;25;37;0,03;0,2678;10,1;0,65;0;24,58
05/09/2017;27;16;Dictyotaceae;Canistrocarpus cervicornis;Phaeophyceae;Cabritas;-20,493994;-29,330622;North;Windward;Island;Summer;27;39;0;1,7043;79,15;0,97;0;25,19
05/09/2017;28;16;Dictyotaceae;Canistrocarpus cervicornis;Phaeophyceae;Cabritas;-20,493994;-29,330622;North;Windward;Island;Summer;27;39;0;1,669;78,89;1,37;0;25,1
05/09/2017;29;16;Dictyotaceae;Canistrocarpus cervicornis;Phaeophyceae;Cabritas;-20,493994;-29,330622;North;Windward;Island;Summer;27;39;0;1,6786;64,93;1,22;0;23,21
05/09/2017;45;32;Dictyotaceae;Canistrocarpus cervicornis;Phaeophyceae;Cabritas;-20,493994;-29,330622;North;Windward;Island;Winter;23;36;0;2,0625;46,66;1,19;0;24,62
05/09/2017;47;32;Dictyotaceae;Canistrocarpus cervicornis;Phaeophyceae;Cabritas;-20,493994;-29,330622;North;Windward;Island;Winter;23;36;0;1,9162;63,96;1,37;0;27,5
05/09/2017;46;32;Dictyotaceae;Canistrocarpus cervicornis;Phaeophyceae;Cabritas;-20,493994;-29,330622;North;Windward;Island;Winter;23;36;0;1,8347;51,54;1;0;22,24
