ponto	altura	pesoalga
p1	mesoinfra	6.985
p1	mesoinfra	7.525
p1	mesoinfra	7.772
p1	mesoinfra	5.017
p1	mesomeso	8.156
p1	mesomeso	6.926
p1	mesomeso	7.283
p1	mesomeso	21.344
p1	mesosupra	10.194
p1	mesosupra	9.419
p1	mesosupra	9.217
p1	mesosupra	8.571
p2	mesoinfra	14.914
p2	mesoinfra	12.399
p2	mesoinfra	11.88
p2	mesoinfra	10.257
p2	mesomeso	6.078
p2	mesomeso	13.182
p2	mesomeso	10.106
p2	mesomeso	9.419
p2	mesosupra	14.759
p2	mesosupra	13.318
p2	mesosupra	10.864
p2	mesosupra	11.104
p1	mesoinfra	11.334
p1	mesoinfra	5.796
p1	mesoinfra	11.115
p1	mesoinfra	5.796
p1	mesomeso	6.759
p1	mesomeso	11.928
p1	mesomeso	6.709
p1	mesomeso	9.023
p1	mesosupra	10.517
p1	mesosupra	15.626
p1	mesosupra	15.582
p1	mesosupra	10.965
p2	mesoinfra	13.756
p2	mesoinfra	11.171
p2	mesoinfra	11.371
p2	mesoinfra	8.556
p2	mesomeso	12.766
p2	mesomeso	15.108
p2	mesomeso	17.397
p2	mesomeso	14.362
p2	mesosupra	18.94
p2	mesosupra	13.653
p2	mesosupra	10.796
p2	mesosupra	16.254
